-	bs	ht	ka	mi	hmn	mg	sd	ne	be	eu	tl	es	my	gl	mn	te	af	fy	ja	no	st	az	it	pa	el	zh-CN	ig	lo	si	cs	fr	bn	tg	hy	sk	bg	is	ny	ca	nl	so	de	ms	sr	haw	jw	hu	eo	ml	lb	iw	ga	ps	tr	am	sq	mk	ko	sw	ur	la	uk	uz	lt	th	pl	ro	hi	ta	mt	ha	xh	ar	yi	mr	ku	kn	pt	yo	sv	fa	da	zu	vi	sm	sn	gd	co	cy	fi	ru	gu	zh-TW	id	km	ceb	et	sl	lv	su	ky	hr	kk	
lt	34	30	59	19	40	34	49	50	36	34	24	32	17	35	41	28	23	22	22	14	34	45	22	39	26	22	35	27	31	21	24	41	48	57	54	36	21	35	28	18	42	24	25	58	30	20	19	30	53	31	25	23	47	26	31	24	37	15	29	40	12	34	60	0	23	28	31	33	22	22	23	41	28	16	34	33	47	24	12	10	37	14	42	16	28	37	24	19	16	21	37	36	22	23	40	22	139	35	118	15	32	33	55	
th	18	32	12	22	24	26	19	25	19	17	21	20	16	24	36	15	13	9	20	16	21	22	18	28	23	19	29	49	22	17	14	30	29	20	14	20	16	16	18	14	26	16	24	18	17	16	16	18	22	22	13	9	20	28	24	16	22	21	25	25	15	18	31	23	0	14	20	20	19	17	23	26	21	19	22	9	25	15	23	21	27	17	24	22	26	17	25	17	17	19	17	19	19	30	29	23	17	20	21	18	11	20	19	
pl	25	16	15	11	14	14	7	14	27	11	13	21	10	21	20	7	16	11	10	20	9	18	27	10	21	15	9	8	13	23	25	15	19	17	15	24	23	11	22	17	19	23	15	20	8	8	16	15	9	19	14	13	13	20	23	25	23	13	12	11	11	27	24	28	14	0	21	16	17	22	10	11	15	17	6	6	10	22	9	22	14	25	11	13	14	4	14	12	12	23	26	4	15	13	15	16	13	17	17	13	11	26	21	
ro	18	33	37	22	21	23	23	20	24	19	16	37	12	38	25	14	18	23	17	11	23	23	28	16	34	16	17	17	24	21	35	22	28	22	17	23	13	23	27	25	33	26	16	22	15	12	32	24	22	31	24	13	22	30	24	31	19	14	22	28	15	29	25	31	20	21	0	26	23	28	16	18	23	17	17	15	18	29	17	18	22	23	20	23	20	12	16	20	14	22	21	13	16	26	26	20	31	19	27	20	15	23	22	
hi	15	20	25	32	33	27	44	64	31	20	23	13	16	16	28	21	17	14	24	14	23	26	14	53	26	18	29	24	29	22	16	41	28	28	23	16	25	34	18	18	38	18	22	22	28	12	11	21	33	19	16	16	38	32	37	23	21	17	34	41	16	22	24	33	20	16	26	0	25	21	24	27	25	16	35	25	37	13	20	18	36	20	25	22	35	21	30	21	23	23	24	33	18	27	25	27	39	16	30	16	22	17	28	
ta	16	22	21	26	22	22	24	42	30	18	20	20	19	18	31	38	22	15	18	14	37	28	18	31	19	20	29	29	31	20	21	33	23	23	15	21	39	32	21	16	36	19	23	18	21	18	16	18	26	17	19	24	26	20	39	30	18	16	34	31	22	19	32	22	19	17	23	25	0	24	33	31	19	14	28	9	28	17	19	15	23	18	35	22	24	20	23	13	20	20	14	32	20	26	38	29	19	16	20	26	11	19	28	
mt	18	33	21	24	23	23	17	22	38	17	19	23	13	26	29	12	22	20	15	15	22	22	25	22	27	16	19	30	22	25	27	16	30	24	18	22	32	20	29	20	27	20	22	19	17	16	17	22	15	25	13	14	24	25	30	40	21	17	26	16	14	20	22	22	17	22	28	21	24	0	22	24	23	18	14	13	14	21	17	24	17	18	22	18	22	13	15	26	16	23	15	16	16	22	26	28	13	19	19	21	8	22	27	
ha	19	27	21	51	42	41	21	34	25	20	30	16	23	24	32	24	22	20	13	7	52	20	13	30	19	18	52	25	24	19	12	31	33	23	18	21	31	51	17	11	55	15	28	16	36	28	11	21	24	27	22	20	35	22	24	20	20	20	41	22	16	25	26	23	23	10	16	24	33	22	0	44	16	21	28	21	26	13	40	15	30	9	45	20	46	32	46	17	19	21	17	23	18	25	30	29	19	22	18	27	13	24	24	
xh	23	29	30	50	41	46	44	42	20	25	30	22	18	25	49	34	23	24	32	13	74	28	22	33	22	18	47	34	40	19	13	37	50	27	20	25	21	85	26	20	57	19	38	18	38	29	19	25	28	32	27	25	56	28	47	25	27	25	60	35	19	27	44	41	26	11	18	27	31	24	44	0	19	20	29	31	33	17	33	18	26	18	134	26	51	86	50	22	29	22	18	30	18	31	35	29	32	29	28	27	22	21	45	
ar	15	21	22	13	19	17	23	26	22	8	13	18	10	16	27	14	13	11	15	9	24	17	26	22	22	18	21	20	26	23	22	24	25	22	18	22	19	15	16	11	23	21	23	27	14	16	19	15	22	14	13	17	20	22	27	18	22	18	18	23	12	16	27	28	21	15	23	25	19	23	16	19	0	9	13	13	15	21	15	16	34	17	20	23	20	16	20	10	19	23	18	18	18	20	23	14	24	19	34	12	26	20	25	
yi	20	26	12	29	29	25	15	19	19	14	19	14	13	17	31	10	16	14	7	13	29	23	14	17	18	11	20	19	13	22	11	19	17	17	14	26	16	25	17	13	15	18	22	13	18	16	15	26	11	19	17	9	22	16	25	14	18	7	21	14	12	24	19	16	19	17	17	16	14	18	21	20	9	0	12	11	14	16	21	22	17	17	17	13	19	15	20	9	13	18	18	10	11	17	22	20	13	16	15	18	8	19	19	
mr	25	30	29	24	25	43	39	62	17	16	21	16	21	18	34	31	13	15	12	16	27	32	11	73	20	25	23	40	21	13	15	65	34	27	22	20	22	34	18	13	41	21	38	25	19	29	15	12	29	18	16	20	44	21	31	17	22	15	34	44	10	19	38	34	22	6	17	35	28	14	28	29	13	12	0	16	52	14	19	19	22	17	26	21	25	25	25	16	20	19	19	53	25	24	51	16	36	25	33	22	15	24	32	
ku	9	16	25	23	26	23	46	39	14	16	12	10	12	10	24	12	10	20	7	6	21	19	8	19	8	14	17	26	15	8	6	25	27	26	18	9	12	33	14	10	27	13	21	25	21	12	8	11	24	18	17	7	40	12	20	8	9	6	23	36	13	11	17	33	9	6	15	25	9	13	21	31	13	11	16	0	20	7	14	7	18	7	27	16	25	22	20	17	15	12	11	15	14	15	30	14	39	13	29	17	26	13	23	
kn	28	18	42	18	33	37	40	48	22	22	26	17	22	22	25	36	19	18	19	14	29	39	22	49	20	21	24	33	31	17	17	41	30	35	29	22	27	32	21	13	41	11	33	25	22	20	18	16	45	28	22	16	53	23	35	20	26	19	39	44	12	24	32	47	25	10	18	37	28	14	26	33	15	14	52	20	0	15	24	20	28	20	34	19	30	28	27	16	23	27	19	52	21	32	42	21	47	29	40	18	22	23	30	
pt	20	27	19	10	18	22	12	19	20	22	8	49	11	49	19	13	15	18	19	20	17	21	38	13	27	14	15	18	12	24	35	13	25	18	12	26	11	11	39	17	20	23	20	19	13	11	21	37	12	25	11	12	18	26	23	22	19	12	15	21	6	22	23	24	15	22	29	13	17	21	13	17	21	16	14	7	15	0	12	13	17	15	15	12	14	6	17	23	12	24	18	10	14	23	19	16	10	19	21	17	8	24	21	
yo	14	21	15	54	29	46	21	23	14	13	21	10	13	17	31	15	15	20	14	11	40	23	14	27	23	15	56	20	23	17	8	31	28	19	12	16	21	40	15	15	31	11	28	9	33	20	10	13	18	16	12	10	31	18	35	15	17	18	34	16	9	17	32	12	23	9	17	20	19	17	40	33	15	21	19	14	24	12	0	11	21	13	36	17	44	24	27	15	16	20	15	21	15	24	34	26	18	18	17	23	9	10	23	
sv	25	28	17	16	16	24	14	20	26	12	15	16	7	16	25	13	15	18	13	31	14	19	16	26	21	13	17	25	19	21	22	22	26	20	13	19	23	16	20	16	19	18	24	15	13	19	22	20	13	21	16	11	23	21	21	19	24	14	19	17	9	25	23	10	21	22	18	18	15	24	15	18	16	22	19	7	20	13	11	0	14	39	18	14	17	12	15	12	17	30	20	14	13	29	25	18	14	21	16	17	7	25	21	
fa	17	22	22	24	20	29	26	40	19	15	13	15	18	24	35	22	15	15	18	11	20	34	18	27	29	22	31	29	26	20	14	30	33	28	23	23	23	19	14	14	28	21	30	20	19	21	17	18	24	17	23	14	41	31	28	22	22	20	23	40	12	20	38	37	27	14	22	36	23	17	30	26	34	17	22	18	28	17	21	14	0	18	29	22	26	20	23	19	15	20	18	20	22	23	33	18	26	24	31	20	26	18	29	
da	19	16	23	17	17	15	18	27	22	15	16	18	9	20	25	13	19	20	18	41	16	21	15	22	24	20	11	14	15	20	22	16	25	20	13	27	22	12	22	22	24	33	23	19	13	17	19	18	14	24	18	11	22	27	28	16	21	17	26	21	12	28	19	14	17	25	23	20	18	18	9	18	17	17	17	7	20	15	13	39	18	0	16	22	16	13	16	13	19	32	21	14	20	24	22	11	19	19	17	15	14	24	23	
zu	24	24	40	44	32	45	41	38	28	22	33	24	17	22	38	26	20	20	23	18	97	29	21	35	20	15	45	34	33	26	8	38	42	28	17	21	23	89	22	16	57	24	32	27	37	21	15	22	36	36	22	18	47	24	42	15	27	25	73	35	10	24	41	42	24	11	20	25	35	22	45	134	20	17	26	27	34	15	36	18	29	16	0	19	56	79	44	19	25	25	15	26	15	30	32	31	38	32	39	34	30	25	31	
vi	17	28	20	23	30	33	25	29	19	13	18	17	11	23	31	10	21	16	26	10	23	22	19	26	21	29	23	32	27	21	19	25	30	19	12	16	19	18	19	22	29	23	32	18	23	27	19	18	11	24	17	16	36	26	26	16	15	15	32	23	12	20	28	16	22	13	23	22	22	18	20	26	23	13	21	16	19	12	17	14	22	22	19	0	23	22	24	13	21	18	11	20	29	35	51	24	16	25	16	26	8	19	31	
sm	22	40	23	71	54	53	35	36	27	26	39	19	17	32	55	20	21	18	22	13	59	26	15	31	24	18	61	53	34	22	14	36	37	23	19	21	32	60	23	18	51	23	44	16	51	38	20	18	23	30	21	23	38	30	40	26	18	19	55	27	24	20	34	28	26	14	20	35	24	22	46	51	20	19	25	25	30	14	44	17	26	16	56	23	0	38	51	23	24	31	13	27	18	40	77	30	27	24	22	23	8	22	31	
sn	13	21	21	36	28	38	39	36	18	19	24	15	16	13	34	20	12	23	19	12	77	23	12	27	17	13	36	27	32	11	11	25	31	20	24	15	12	100	15	10	49	17	26	19	37	23	10	20	22	27	15	11	42	21	35	11	20	13	61	27	13	17	28	37	17	4	12	21	20	13	32	86	16	15	25	22	28	6	24	12	20	13	79	22	38	0	25	18	17	12	13	20	13	16	28	17	35	16	27	16	18	15	33	
gd	22	26	24	37	47	36	18	28	27	23	32	19	18	25	42	20	19	20	22	15	44	22	20	26	19	25	34	36	24	24	15	28	39	15	16	20	31	44	24	14	40	21	35	17	38	24	15	26	20	30	23	51	35	19	30	21	21	22	41	21	14	20	25	24	25	14	16	30	23	15	46	50	20	20	25	20	27	17	27	15	23	16	44	24	51	25	0	24	38	19	26	19	25	25	39	23	14	24	21	21	12	21	26	
co	17	29	18	24	21	32	19	18	24	34	17	29	11	37	26	8	14	19	13	9	17	19	37	25	15	13	17	27	16	19	26	19	27	21	18	19	16	21	41	15	29	20	29	15	17	17	14	28	11	24	16	14	22	20	22	23	19	18	23	20	9	16	23	19	17	12	20	21	13	26	17	22	10	9	16	17	16	23	15	12	19	13	19	13	23	18	24	0	11	14	11	8	13	17	27	21	17	18	28	10	7	13	20	
cy	16	29	18	23	20	23	15	23	13	12	21	15	9	19	28	12	20	19	15	12	17	22	11	21	15	17	19	26	19	13	11	30	29	23	9	14	25	29	18	12	29	18	23	14	13	22	11	19	13	23	17	27	11	16	24	18	20	14	27	25	8	21	32	16	17	12	14	23	20	16	19	29	19	13	20	15	23	12	16	17	15	19	25	21	24	17	38	11	0	12	15	25	17	21	25	18	19	21	21	17	9	12	29	
fi	24	19	22	19	22	20	19	26	32	13	22	22	13	25	33	20	19	22	16	21	20	29	22	19	31	22	20	17	19	35	26	22	29	21	22	27	24	18	19	21	28	26	24	18	15	14	23	21	18	24	19	13	31	28	25	21	22	20	23	18	12	25	30	21	19	23	22	23	20	23	21	22	23	18	19	12	27	24	20	30	20	32	25	18	31	12	19	14	12	0	20	16	22	30	18	20	20	17	24	22	16	28	29	
ru	26	15	25	16	18	16	14	24	60	13	16	22	12	19	28	15	17	13	13	13	18	31	17	19	22	17	18	12	19	28	20	20	37	29	26	37	16	18	19	18	24	21	20	24	17	10	13	26	13	22	14	11	22	16	21	24	31	8	26	19	11	45	31	37	17	26	21	24	14	15	17	18	18	18	19	11	19	18	15	20	18	21	15	11	13	13	26	11	15	20	0	17	17	17	19	15	21	21	32	19	27	26	36	
gu	14	20	25	25	23	25	37	54	20	14	20	11	15	13	29	24	14	11	11	14	27	32	12	54	11	24	30	30	22	10	15	47	32	28	14	13	21	24	14	11	31	13	29	21	24	20	8	12	27	18	11	18	36	22	33	12	19	13	35	39	10	15	31	36	19	4	13	33	32	16	23	30	18	10	53	15	52	10	21	14	20	14	26	20	27	20	19	8	25	16	17	0	24	27	45	12	26	17	35	15	11	17	26	
zh-TW	16	25	18	21	19	23	22	29	17	17	21	18	18	17	26	17	20	15	30	10	14	16	17	26	21	269	16	21	15	29	17	31	29	13	18	15	21	15	12	17	23	27	22	17	14	23	15	18	11	15	21	15	30	22	23	17	17	16	14	26	8	19	26	22	19	15	16	18	20	16	18	18	18	11	25	14	21	14	15	13	22	20	15	29	18	13	25	13	17	22	17	24	0	26	37	15	19	19	15	26	13	17	27	
id	28	53	31	31	26	51	28	38	24	22	33	19	15	27	46	28	25	28	24	21	25	30	19	34	23	26	27	52	28	28	22	30	38	28	17	23	29	25	21	18	34	28	65	23	19	54	22	21	23	34	22	16	36	36	25	26	30	24	32	35	16	27	36	23	30	13	26	27	26	22	25	31	20	17	24	15	32	23	24	29	23	24	30	35	40	16	25	17	21	30	17	27	26	0	50	22	19	37	26	47	19	26	33	
km	27	58	26	47	38	79	27	48	26	34	48	20	28	29	67	18	24	21	18	17	31	24	18	62	21	37	29	112	36	20	24	56	38	28	23	22	34	37	25	17	49	26	72	34	29	48	17	22	21	41	18	27	52	25	52	27	28	16	62	37	16	27	43	40	29	15	26	25	38	26	30	35	23	22	51	30	42	19	34	25	33	22	32	51	77	28	39	27	25	18	19	45	37	50	0	38	25	36	32	28	16	26	35	
ceb	23	32	18	34	27	43	20	24	29	21	46	22	16	23	42	23	18	20	11	15	29	19	14	22	25	15	35	41	30	19	20	25	32	20	20	23	30	29	21	17	32	15	26	14	23	21	27	22	13	28	18	16	25	18	35	32	20	14	39	27	15	20	35	22	23	16	20	27	29	28	29	29	14	20	16	14	21	16	26	18	18	11	31	24	30	17	23	21	18	20	15	12	15	22	38	0	13	19	24	32	9	19	31	
et	28	22	58	21	39	21	48	43	23	28	12	18	21	25	31	23	17	11	21	16	28	33	17	29	19	19	22	16	42	16	15	33	29	49	44	18	22	31	21	15	37	17	25	59	25	22	18	13	49	30	29	17	42	21	24	22	30	6	31	49	17	26	46	139	17	13	31	39	19	13	19	32	24	13	36	39	47	10	18	14	26	19	38	16	27	35	14	17	19	20	21	26	19	19	25	13	0	33	124	14	37	22	40	
sl	69	34	25	24	20	29	21	29	19	20	21	25	18	33	39	15	21	27	13	12	26	25	23	21	18	19	30	33	17	26	19	28	34	30	21	30	28	18	29	13	34	31	34	47	19	27	21	23	15	40	23	18	34	26	30	24	48	11	24	27	11	30	37	35	20	17	19	16	16	19	22	29	19	16	25	13	29	19	18	21	24	19	32	25	24	16	24	18	21	17	21	17	19	37	36	19	33	0	34	22	15	36	39	
lv	25	24	56	22	28	26	38	36	29	20	18	21	19	27	38	18	18	13	22	24	32	32	23	39	18	15	28	29	29	23	23	33	35	43	49	32	19	28	26	23	32	23	31	51	29	24	19	27	41	32	22	20	34	17	32	22	40	13	33	43	15	31	52	118	21	17	27	30	20	19	18	28	34	15	33	29	40	21	17	16	31	17	39	16	22	27	21	28	21	24	32	35	15	26	32	24	124	34	0	15	42	30	47	
su	20	29	20	29	23	25	23	26	31	14	16	18	18	18	31	17	20	29	14	20	31	22	16	25	21	26	30	30	15	21	15	27	25	14	22	16	25	27	19	16	29	20	32	14	19	27	19	17	13	23	18	12	26	27	27	31	20	20	30	19	16	24	27	15	18	13	20	16	26	21	27	27	12	18	22	17	18	17	23	17	20	15	34	26	23	16	21	10	17	22	19	15	26	47	28	32	14	22	15	0	15	20	28	
ky	9	8	19	8	12	12	27	21	16	13	8	10	15	10	19	17	7	11	14	9	15	17	11	13	6	13	13	10	16	12	12	11	15	19	36	13	13	24	8	8	22	9	15	42	12	9	8	12	21	16	23	10	23	10	17	16	13	7	20	22	8	12	32	32	11	11	15	22	11	8	13	22	26	8	15	26	22	8	9	7	26	14	30	8	8	18	12	7	9	16	27	11	13	19	16	9	37	15	42	15	0	19	23	
hr	43	24	27	20	21	22	26	27	34	18	21	29	14	25	28	14	24	22	12	19	22	28	22	23	22	17	17	21	20	27	25	24	27	27	21	33	20	16	28	26	28	29	23	46	24	15	25	24	15	24	25	15	30	26	24	26	37	12	17	20	16	31	27	33	20	26	23	17	19	22	24	21	20	19	24	13	23	24	10	25	18	24	25	19	22	15	21	13	12	28	26	17	17	26	26	19	22	36	30	20	19	0	33	
kk	32	30	37	36	27	33	36	37	40	27	27	22	23	24	57	18	23	22	25	14	34	54	19	34	26	27	30	41	27	22	23	34	51	47	19	34	32	35	23	22	37	28	41	31	22	23	25	28	30	41	26	17	43	33	35	30	46	25	29	39	13	40	82	55	19	21	22	28	28	27	24	45	25	19	32	23	30	21	23	21	29	23	31	31	31	33	26	20	29	29	36	26	27	33	35	31	40	39	47	28	23	33	0	
